"YEAR","MONTH","DAY","WEEK","DATE","MKT_AIRLINE","MKT_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN_IATA","ORIGIN_CITY","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST_IATA","DEST_CITY","SCH_DEP_TIME","ACT_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","SCH_ARR_TIME","ACT_ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","SCH_DURATION","ACT_DURATION","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","TOTAL_ADD_GTIME","ORIGIN_TYPE","ORIGIN_ELEV","ORIGIN_TZ","DEST_TYPE","DEST_ELEV","DEST_TZ","SCH_DEP_TIME_UTC","ACT_DEP_TIME_UTC","SCH_ARR_TIME_UTC","ACT_ARR_TIME_UTC"
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1,12478,1247805,31703,"JFK","New York, NY",12892,1289208,32575,"LAX","Los Angeles, CA","0900","0900",0,0,22,"0922","1158",5,"1229","1203",-26,0,NA,389,363,336,2475,NA,NA,NA,NA,NA,NA,"large_airport",13,"America/New_York","large_airport",125,"America/Los_Angeles",2024-05-01 13:00:00,2024-05-01 13:00:00,2024-05-01 19:29:00,2024-05-01 19:03:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",10,12892,1289208,32575,"LAX","Los Angeles, CA",12478,1247805,31703,"JFK","New York, NY","2230","2222",-8,0,16,"2238","0636",12,"0700","0648",-12,0,NA,330,326,298,2475,NA,NA,NA,NA,NA,NA,"large_airport",125,"America/Los_Angeles","large_airport",13,"America/New_York",2024-05-02 05:30:00,2024-05-02 05:22:00,2024-05-02 11:00:00,2024-05-02 10:48:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1002,15919,1591905,31834,"XNA","Fayetteville, AR",11298,1129806,30194,"DFW","Dallas/Fort Worth, TX","0604","0622",18,18,10,"0632","0720",13,"0726","0733",7,0,NA,82,71,48,280,NA,NA,NA,NA,NA,NA,"medium_airport",1287,"America/Chicago","large_airport",607,"America/Chicago",2024-05-01 11:04:00,2024-05-01 11:22:00,2024-05-01 12:26:00,2024-05-01 12:33:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1003,11292,1129202,30325,"DEN","Denver, CO",13303,1330303,32467,"MIA","Miami, FL","0040","0038",-2,0,15,"0053","0620",12,"0637","0632",-5,0,NA,237,234,207,1709,NA,NA,NA,NA,NA,NA,"large_airport",5431,"America/Denver","large_airport",8,"America/New_York",2024-05-01 06:40:00,2024-05-01 06:38:00,2024-05-01 10:37:00,2024-05-01 10:32:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1004,10721,1072102,30721,"BOS","Boston, MA",11057,1105703,31057,"CLT","Charlotte, NC","0801","0754",-7,0,25,"0819","1012",19,"1030","1031",1,0,NA,149,157,113,728,NA,NA,NA,NA,NA,NA,"large_airport",20,"America/New_York","large_airport",748,"America/New_York",2024-05-01 12:01:00,2024-05-01 11:54:00,2024-05-01 14:30:00,2024-05-01 14:31:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1005,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",14771,1477104,32457,"SFO","San Francisco, CA","2044","2056",12,12,32,"2128","2304",8,"2236","2312",36,0,NA,232,256,216,1464,12,0,24,0,0,NA,"large_airport",607,"America/Chicago","large_airport",13,"America/Los_Angeles",2024-05-02 01:44:00,2024-05-02 01:56:00,2024-05-02 05:36:00,2024-05-02 06:12:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1006,13303,1330303,32467,"MIA","Miami, FL",10397,1039707,30397,"ATL","Atlanta, GA","1950","2116",86,86,20,"2136","2300",6,"2202","2306",64,0,NA,132,110,84,594,56,0,0,0,8,NA,"large_airport",8,"America/New_York","large_airport",1026,"America/New_York",2024-05-01 23:50:00,2024-05-02 01:16:00,2024-05-02 02:02:00,2024-05-02 03:06:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1007,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",13495,1349505,33495,"MSY","New Orleans, LA","1920","1931",11,11,15,"1946","2045",4,"2050","2049",-1,0,NA,90,78,59,447,NA,NA,NA,NA,NA,NA,"large_airport",607,"America/Chicago","large_airport",4,"America/Chicago",2024-05-02 00:20:00,2024-05-02 00:31:00,2024-05-02 01:50:00,2024-05-02 01:49:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1008,10397,1039707,30397,"ATL","Atlanta, GA",11298,1129806,30194,"DFW","Dallas/Fort Worth, TX","1628","1735",67,67,18,"1753","1842",13,"1759","1855",56,0,NA,151,140,109,731,3,0,0,0,53,NA,"large_airport",1026,"America/New_York","large_airport",607,"America/Chicago",2024-05-01 20:28:00,2024-05-01 21:35:00,2024-05-01 22:59:00,2024-05-01 23:55:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1008,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",10397,1039707,30397,"ATL","Atlanta, GA","1221","1334",73,73,20,"1354","1637",5,"1528","1642",74,0,NA,127,128,103,731,5,0,1,0,68,NA,"large_airport",607,"America/Chicago","large_airport",1026,"America/New_York",2024-05-01 17:21:00,2024-05-01 18:34:00,2024-05-01 19:28:00,2024-05-01 20:42:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1009,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",13204,1320402,31454,"MCO","Orlando, FL","1638","1643",5,5,10,"1653","2003",5,"2015","2008",-7,0,NA,157,145,130,985,NA,NA,NA,NA,NA,NA,"large_airport",607,"America/Chicago","large_airport",96,"America/New_York",2024-05-01 21:38:00,2024-05-01 21:43:00,2024-05-02 00:15:00,2024-05-02 00:08:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1010,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",15016,1501606,31123,"STL","St. Louis, MO","2114","2214",60,60,14,"2228","2340",8,"2300","2348",48,0,NA,106,94,72,550,48,0,0,0,0,NA,"large_airport",607,"America/Chicago","large_airport",618,"America/Chicago",2024-05-02 02:14:00,2024-05-02 03:14:00,2024-05-02 04:00:00,2024-05-02 04:48:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1011,11057,1105703,31057,"CLT","Charlotte, NC",13303,1330303,32467,"MIA","Miami, FL","1025","1021",-4,0,23,"1044","1220",9,"1230","1229",-1,0,NA,125,128,96,650,NA,NA,NA,NA,NA,NA,"large_airport",748,"America/New_York","large_airport",8,"America/New_York",2024-05-01 14:25:00,2024-05-01 14:21:00,2024-05-01 16:30:00,2024-05-01 16:29:00
