origin,type
JFK,large_airport
LAX,large_airport
DFW,large_airport
CLT,large_airport
DEN,large_airport
BOS,large_airport
BFL,medium_airport
ATL,large_airport
SJU,large_airport
AUS,large_airport
TYS,medium_airport
HNL,large_airport
DTW,large_airport
LGA,large_airport
MSP,large_airport
MIA,large_airport
ORD,large_airport
SDF,large_airport
AVP,medium_airport
IND,large_airport
ALB,medium_airport
ELP,medium_airport
SAN,large_airport
JAX,large_airport
PHL,large_airport
SEA,large_airport
ORF,large_airport
IAH,large_airport
RDU,large_airport
TUL,large_airport
PHX,large_airport
MCI,large_airport
BNA,large_airport
TPA,large_airport
BDL,large_airport
CHS,medium_airport
DCA,large_airport
CMH,large_airport
PIT,large_airport
EYW,medium_airport
PDX,large_airport
OGG,large_airport
SBP,medium_airport
OKC,large_airport
COS,medium_airport
RSW,large_airport
EWR,large_airport
MEM,large_airport
BWI,large_airport
CLE,large_airport
GSP,medium_airport
MCO,large_airport
BUF,large_airport
BUR,medium_airport
SLC,large_airport
PBI,large_airport
MSY,large_airport
SYR,large_airport
EGE,medium_airport
PNS,medium_airport
LAS,large_airport
STX,medium_airport
STL,large_airport
ANC,large_airport
ECP,medium_airport
SAT,large_airport
ABQ,large_airport
FCA,medium_airport
FLL,large_airport
ILM,medium_airport
RNO,large_airport
GEG,medium_airport
SNA,large_airport
BOI,medium_airport
IAD,large_airport
STT,medium_airport
LIT,medium_airport
CID,medium_airport
BGR,medium_airport
ONT,large_airport
SFO,large_airport
JAC,medium_airport
LBB,medium_airport
CVG,large_airport
LEX,medium_airport
MDT,medium_airport
DSM,medium_airport
MSN,medium_airport
SMF,large_airport
EUG,medium_airport
GRR,medium_airport
MYR,medium_airport
GSO,medium_airport
XNA,medium_airport
TUS,medium_airport
STS,medium_airport
MTJ,medium_airport
ICT,medium_airport
PVD,large_airport
FAT,medium_airport
MKE,large_airport
OMA,large_airport
MRY,medium_airport
MFE,medium_airport
RIC,large_airport
PSP,medium_airport
CAE,medium_airport
